,City,CityID,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
0,Alvaraes,3665380,44,BR,1545527324,94,-3.22,-64.8,75.2,8.95
1,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
2,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
3,Vaini,1273574,32,IN,1545523200,87,15.34,74.49,60.8,2.91
4,Souillac,3026644,90,FR,1545525000,100,45.6,-0.6,55.4,3.36
5,Porto Seguro,3452640,0,BR,1545523200,78,-16.44,-39.06,77.0,6.93
6,Cervo,3469169,24,BR,1545527330,90,-22.19,-46.24,68.72,2.68
7,Busselton,2075265,0,AU,1545527331,92,-33.64,115.35,69.62,12.19
8,Albany,5106834,90,US,1545526560,69,42.65,-73.75,35.96,18.34
9,Bredasdorp,1015776,0,ZA,1545523200,88,-34.53,20.04,69.8,2.24
10,Esperance,3573739,20,TT,1545523200,78,10.24,-61.45,77.0,6.04
11,Sao Filipe,3374210,80,CV,1545527275,93,14.9,-24.5,75.38,9.73
12,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
13,Busselton,2075265,0,AU,1545527331,92,-33.64,115.35,69.62,12.19
14,Roald,3141667,75,NO,1545526200,74,62.58,6.12,37.4,4.7
15,Kapaa,5848280,1,US,1545522960,64,22.08,-159.32,80.06,10.29
16,Hermanus,3366880,0,ZA,1545527342,99,-34.42,19.24,56.84,2.91
17,Ancud,3899695,90,CL,1545523200,76,-41.87,-73.83,57.2,4.7
18,Port Alfred,964432,36,ZA,1545527135,91,-33.59,26.89,73.0,9.84
19,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
20,Vaini,1273574,32,IN,1545523200,87,15.34,74.49,60.8,2.91
21,Khani,610864,75,GE,1545525000,100,41.96,42.96,41.0,5.82
22,Prescott,5309842,1,US,1545522780,17,34.54,-112.47,57.02,3.36
23,Palmer,5871146,1,US,1545523080,84,61.6,-149.11,24.08,8.05
24,Butaritari,2110227,76,KI,1545527352,100,3.07,172.79,82.04,5.93
25,Upernavik,3418910,32,GL,1545527353,100,72.79,-56.15,-2.02,10.63
26,Vaini,1273574,32,IN,1545523200,87,15.34,74.49,60.8,2.91
27,Wilmington,4145381,90,US,1545526500,60,39.75,-75.55,42.98,11.41
28,Bethel,5880568,90,US,1545524580,84,60.79,-161.76,3.2,14.99
29,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
30,Nantucket,4944903,1,US,1545526380,66,41.28,-70.1,39.02,19.46
31,East London,1006984,76,ZA,1545527361,100,-33.02,27.91,74.12,18.79
32,Nguruka,151567,88,TZ,1545527362,100,-5.11,31.04,63.59,2.57
33,East London,1006984,76,ZA,1545527361,100,-33.02,27.91,74.12,18.79
34,Agnibilekrou,2293260,12,CI,1545527364,44,7.13,-3.2,77.68,4.36
35,Taoudenni,2450173,0,ML,1545527365,41,22.68,-3.98,54.55,11.41
36,Dudinka,1507116,56,RU,1545527367,45,69.41,86.18,-28.08,13.65
37,Ancud,3899695,90,CL,1545523200,76,-41.87,-73.83,57.2,4.7
38,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
39,Hirara,1862505,75,JP,1545523200,83,24.8,125.28,75.2,10.29
40,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
41,Castro,3896218,90,CL,1545523200,76,-42.48,-73.76,57.2,4.7
42,Tasiilaq,3424607,48,GL,1545522600,79,65.61,-37.64,24.8,2.24
43,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
44,New Norfolk,2155415,75,AU,1545525000,42,-42.78,147.06,68.0,18.34
45,Lebu,344979,20,ET,1545523200,81,8.96,38.73,51.8,6.93
46,Rimbey,6122374,40,CA,1545523200,78,52.64,-114.24,12.2,2.24
47,Kamenka,553725,80,RU,1545527381,88,53.19,44.05,11.53,7.49
48,Ushuaia,3833367,40,AR,1545523200,57,-54.81,-68.31,48.2,27.51
49,Cascais,2269594,0,PT,1545525000,93,38.7,-9.42,50.0,10.29
50,Kruisfontein,986717,64,ZA,1545527250,92,-34.0,24.73,64.76,7.94
51,Port Hardy,6111862,75,CA,1545525180,86,50.7,-127.42,41.0,33.33
52,Torbay,6167817,90,CA,1545523200,92,47.66,-52.73,33.8,26.4
53,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
54,Tuatapere,2180815,0,NZ,1545527390,89,-46.13,167.69,57.47,3.69
55,Vaini,1273574,32,IN,1545523200,87,15.34,74.49,60.8,2.91
56,Buckeye,5287262,1,US,1545526500,38,33.37,-112.58,69.98,2.68
57,Albany,5106834,90,US,1545526560,69,42.65,-73.75,35.96,18.34
58,Punta Arenas,3874787,20,CL,1545523200,40,-53.16,-70.91,51.8,29.97
59,Hobart,2163355,75,AU,1545525000,42,-42.88,147.33,68.0,18.34
60,Thompson,6165406,90,CA,1545523200,70,55.74,-97.86,-0.41,10.29
61,Fenyi,1811114,92,CN,1545527399,100,27.82,114.69,50.5,3.13
62,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
63,Hobart,2163355,75,AU,1545525000,42,-42.88,147.33,68.0,18.34
64,Luxor,360502,0,EG,1545523200,76,25.7,32.65,51.8,4.03
65,Sao Filipe,3374210,80,CV,1545527275,93,14.9,-24.5,75.38,9.73
66,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
67,Kurya,1501230,48,RU,1545527407,68,51.6,82.29,1.85,12.19
68,Provideniya,4031574,36,RU,1545527282,100,64.42,-173.23,4.64,7.61
69,La Crosse,5258957,90,US,1545526560,81,43.8,-91.24,32.0,4.7
70,Bredasdorp,1015776,0,ZA,1545523200,88,-34.53,20.04,69.8,2.24
