Date,Profit/Losses
Jan-2018,867884
Feb-2018,984655
Mar-2018,322013
Apr-2018,-69417
May-2018,310503
Jun-2018,522857
Jul-2018,1033096
Aug-2018,604885
Sep-2018,-216386
Oct-2018,477532
Nov-2018,893810
Dec-2018,-80353
Jan-2018,779806
Feb-2018,-335203
Mar-2018,697845
Apr-2018,793163
May-2018,485070
Jun-2018,584122
Jul-2018,62729
Aug-2018,668179
Sep-2018,899906
Oct-2018,834719
Nov-2018,132003
Dec-2018,309978
Jan-2018,-755566
Feb-2018,1170593
Mar-2018,252788
Apr-2018,1151518
May-2018,817256
Jun-2018,570757
Jul-2018,506702
Aug-2018,-1022534
Sep-2018,475062
Oct-2018,779976
Nov-2018,144175
Dec-2018,542494
Jan-2018,359333
Feb-2018,321469
Mar-2018,67780
Apr-2018,471435
May-2018,565603
Jun-2018,872480
Jul-2018,789480
Aug-2018,999942
Sep-2018,-1196225
Oct-2018,268997
Nov-2018,-687986
Dec-2018,1150461
Jan-2018,682458
Feb-2018,617856
Mar-2018,824098
Apr-2018,581943
May-2018,132864
Jun-2018,448062
Jul-2018,689161
Aug-2018,800701
Sep-2018,1166643
Oct-2018,947333
Nov-2018,578668
Dec-2018,988505
Jan-2018,1139715
Feb-2018,1029471
Mar-2018,687533
Apr-2018,-524626
May-2018,158620
Jun-2018,87795
Jul-2018,423389
Aug-2018,840723
Sep-2018,568529
Oct-2018,332067
Nov-2018,989499
Dec-2018,778237
Jan-2018,650000
Feb-2018,-1100387
Mar-2018,-174946
Apr-2018,757143
May-2018,445709
Jun-2018,712961
Jul-2018,-1163797
Aug-2018,569899
Sep-2018,768450
Oct-2018,102685
Nov-2018,795914
Dec-2018,60988
Jan-2018,138230
Feb-2018,671099
